"username","created_at","comment_text"
"palacc","2018-08-19 13:41:24","Wow what a lovely idea. How did noone think of this before? Bravo Jovani 💞I wish I could be of some help"
"arabines","2018-08-19 13:57:39","💚"
"ignat.valentina","2018-08-19 14:45:21","Hi there!
I recommend Adina Demian. Her website is adinademian.ro and there you will find all the information you need.
She has helped me deal with a lot of mental and emotional issues I have been through over the past few years, such as obsessive thoughts, anxiety, grief and depression. What I appreciated most in my experience was the fact the she gave me a healthy perspective when I didn’t have one and a lot of tools that helped me understand myself, grow and better navigate the difficult moments.
Lots of love! ♥️"
"rramonette","2018-08-19 14:49:29","This is wonderful! As both a patient and a psychologist to be, I too found myself tormented by the quest most of us face when searching for professional help. Our national association is still trying to implement an efficient solution to deal with this issue. Baby steps though. To begin with, I strongly recommend this: www.istt.ro/home. The only centre in Ro for studying and treating trauma, which has amazing people as psychologists, personally & profesionally prepared to deal with all kinds of experiences that the human nature has been endowed to go through. Don't hesitate to contact me for more guidance if needed ❤"
"anishesh","2018-08-19 15:03:06","Your posts! They heal more than a person! ❤️"
"anamariavictoria12","2018-08-19 15:53:02","I would recommend Elena Cozma. I went to a life coach course started by her, and we had a chance to talk about her experiences both as a therapist and life coach. You can find her contact at http://www.psihoterapieconfident.ro/."
"andreeaminz","2018-08-19 16:35:00","Thank you @theartidote 💓"
"andreeaminz","2018-08-19 16:36:00","Thank you @theartidote 💓"
"ovebecker","2018-08-19 16:49:56","oh god do this in more cities please!! berlin plsssss! i can recommend for mexico city"
"sonjinne410","2018-08-19 16:59:49","I recommend Diana Ioanes. When I was in high school we were given the option to try group self-development and that’s how she helped me realise that I want to study Psychology for uni. Finished my first year, couldn’t be happier. She has A LOT of experience in psychotherapy and is a genuinely good and professional person. dianaioanes_bf@yahoo.com http://www.despresuflet.ro/cabinete-psihologice/bucuresti/cabinet-individual-de-psihologie-ioanes-diana-bucuresti--608/"
"r1kalashnikov","2018-08-19 17:25:38","from the private clinic themind.ro 
dr Emilian Voiculescu.
i have lots of things going on in my life and i felt really comfortable telling everything to him without being judged. plus the clinic gives you a really good vibe."
"r1kalashnikov","2018-08-19 17:28:21","@r1kalashnikov he also knows about borderline personality disorder, which is not so common in romania...you wont find lots of therapists that know what you are talking about. so i was really happy when he mentioned it to me because someone could finally understand me."
"mademoiselle_al","2018-08-19 17:29:57","Could you do the same for Istanbul, Turkey?"
"loreillustration","2018-08-19 19:58:55","This is a great idea!!"
"n00b___","2018-08-19 23:51:37","i love that you do these simple things that make all the difference, you have a beautiful soul and im so happy we're alive together right now."
"mindwellnessinstitute","2018-08-20 10:47:19","@aura.maria Thank you Aura! I appreciate your trustworthy feedback!"
"petralinaa","2018-08-20 10:51:41","Dr. Pop Ioana, Psyclass medical center."
"aura.maria","2018-08-20 10:58:13","Later edit: I realised I could have given more info so that my recommandation is trustworthy, useful and people can relate to it :) In my experience after two unsuccessfull encounters with 2 psychologists whose approach I found to be superficial or it just didn’t suit my way of relating to mental health, I met Mihaela Danaila from @mindwellnessinstitute who helped me deal with a lot of aspects in my life and very important gain and know there are other perspectives, always, when you are stuck, dealing with anxiety, depression or other sorts of imbalances. She helped me especially with self-criticism,the relationship I have with my mother and the loss-absence of my father, the later one being neglected for years before that. I appreciate the fact that she “preaches” the teachings of mindufullness and doesn’t seem to be the type of practitioner who gets stuck in ancient techniques but rather is open and very investigative about what she chooses to do with her clients. Like a doctor who does his research on new studies and is updated with the latest discoveries. That gives me a feeling of security and trust. She also gives therapy sessions via Skype so that’s an extra. Be well everyone! ✌🏻"
"theartidote","2018-08-20 13:34:14","Anonymous recommendation: “In regards of this post: I had a very positive experience with Dr. Mircea Radu. You can find him at www.plusdeviata.ro or on Facebook at “Plus de Viata - Cabinet de Psihologie Mircea Radu”. He’s a wonderful man, very attentive, makes you feel very comfortable and he always manages to get to the root of your problems through talking or through little games, where you don’t even notice how you’re unraveling the sources of your own sorrows using your own brain.”"
"theartidote","2018-08-20 13:35:31","@theartidote “He’s a kind individual and I’d recommend him to anyone who’s struggling with their mental health. :)” ——-thank you anonymous for the recommendation!"
"andraghiorghita","2018-08-20 14:23:18","Hello The artidotees, I stronlgy reccoment this place http://www.mindeducation.ro. I am a psychology student and since I have returned to Romania (i have been studying Clinical Psychology in The Netherlands) i wanted to find a place that provides evidence based therapy. So here it is. I think there are 3-4 psychologists there and they also provide therapy sessions is English. 🔥"
"jenningsniamh","2018-08-20 18:15:26","I don’t live in Bucharest so I can’t recommend a therapist but any book by Susan Jeffers may be of help. There’s a lot of comfort in those pages! Also the school of life videos on YouTube can be very insightful and witty. Take care everyone xx"
"crisandreimogos","2018-08-20 18:22:22","My recomandation is Valentina Neacșu, from Clinica Asist. She is a CBT therapist but her approach is eclectic, with this in mind, she is flexibile in her methods."
"chaos_hiatus","2018-08-20 19:43:12","@gensiulia90 💀 🤓"
"theartidote","2018-08-20 21:58:59","An anonymous Artidotee DMed the following info: “Ovidiu Popa-Velea - he is the head of the psychology department at one of the best Universities of Medicine in Romania (Carol Davila University of Medicine and Pharmacy). He is one of the best teachers I've ever had, his psy courses were really inspiring and one could actually feel his passion and dedication for his field. Also, talking to him about more personal issues was easy and comfortable. You could try reaching him using the following email address: ovidiu.popa-velea@umfcd.ro”"
"annaaamaria25","2018-08-20 22:04:02","My recommendation is Mr. Mihai Catalin. He is also a Psychology teacher in my high school. He is the best human being and also my best friend. Everyone likes him so I am sure that everyone who tries to reach him will be embraced with love and kindness and understatement. Also, he is a funny and easy going man, so he will help you with your problem without even noticing he is doing that. You can find him on Facebook."
"oneskeleton","2018-08-21 13:35:28","Respect ✊"
"nolphand","2018-08-22 17:43:11","This is really a good initiative I think... I'm not living in the country where I grew up and lately I was thinking about seeing a psychologist, but I was really fearing not to find someone I could trust in this new country so having advices of artidotees would have helped me feel a bit more confident probably 😽"
