"username","created_at","comment_text"
"areeg.abdelhamid","2018-08-28 09:59:58","@rosedaraz the list?"
"theartidote","2018-08-28 11:34:38","Anonymous recommendation: “Dr. Amr Salaheldine 
His secretary number: ‭+20 100 6037149‬
This person helped me solve a main issue in my life.. just in 9 sessions! I went to three therapists before who were shitty and laughed at my stories.. yawned while i am talking
But Dr. Amr is a one of a kind human being
I recommend everyone and anyone to go see him!
He is such an interesting person and he even opens up to patients about himself 
I enjoy talking to him to the extent that I get excited to our appointment.”"
"theartidote","2018-08-28 11:35:08","“Also he gained a lot of experience. He used to work in England and decided to come to Egypt because there is a lack of good therapists in Egypt. Dr. Amr worked with different cases: children, criminals,rape victims, traumatized people and helped most of them to get over their problems.”"
"beatrizrcgt","2018-08-28 11:40:06","Do Nice, France, please!"
"nesmaehab","2018-08-28 13:08:36","@monzramlawy the best!! ❤️❤️"
"bannan.salih","2018-08-28 13:10:40","@alyazaki"
"alyazaki","2018-08-28 13:11:47","@bannan.salih Dr Aref Khowailed, Manial"
"magahossamovic","2018-08-28 13:12:34","Dr. Yasser Abdelrazeq

01222443704

He is excellent"
"zeina_aboulaban","2018-08-28 13:40:10","@habeebahashem This might be the most random tag ever, but I know you’re passionate about mental health awareness!"
"beebsmeetsworld","2018-08-28 13:56:35","@justahmad17 @lailahashem21"
"israfouda","2018-08-28 13:58:33","I would absolutely recommend Farida Eid from Heal Counselling in Heliopolis!"
"israfouda","2018-08-28 14:02:34","I was experiencing tremendous anxiety when I was living in Egypt. I would step out of my house and feel every little noise pierce through my brain, I would feel anxious from such small triggers. I saw her for about 6 months, and she was amazingly compassionate, kind, understanding, I think what really stands out about her is that you feel she genuinely cares about you. That really makes a difference because for me, it was a form of motivation to get better. I haven’t been to therapy in about a year as I don’t need it anymore but whenever I visit Egypt I make sure to have a check-up session with her! She’s better than therapists I’ve had in Europe. It’s hard to find good therapists in Cairo and she’s such a gem."
"r1kalashnikov","2018-08-28 14:29:22","@priya_saraff if u would actually bother to scroll through his posts, u would see he did for mumbai:)"
"amarahkhan","2018-08-28 15:40:40","@yassminaorban"
"yassminaorban","2018-08-28 16:42:54","@sarah.nady @salmasammie"
"eeshcapisce","2018-08-28 17:08:22","@mai_aboulfath9"
"shroonami","2018-08-28 18:58:14","@arzoorikhy"
"nehal_abdel_aziz","2018-08-28 21:07:11","@theartidote where’s he located plz ?"
"jailanmaarouf","2018-08-28 21:37:31","@yoloabdo @omarzydan"
"yasmi.en","2018-08-28 22:47:36","@israfouda what is her name and clinic?"
"marioumahh","2018-08-28 23:18:25","Nafs Clinic is great. Doctor Dalia Gamil is brilliant and compassionate and non-judgmental. She cares for her patients unlike most doctors in Egypt and actually calls if you miss your appointment. I've personally been to her clinic and she's been treating me for 7 months and I've never been in a better state of mind in my life. She's also treated some of my family members and friends. She's truly one of a kind. This is the clinic's number ""0106 3701706‬"""
"andypizzza","2018-08-29 03:23:03","@juliekhiry @sarakhiry"
"juliekhiry","2018-08-29 05:19:01","@andypizzza will ask friends ASAP!"
"theartidote","2018-08-29 06:51:03","Anonymous recommendation: “This is in response to the Cairo, Egypt therapist call. Dr. Maie El-Raghy 01060166666. She is a great  listener and never made me feel judged. I took the step to start therapy because I had terrible anxiety and OCD which was beginning to impact my life negatively. I spent a year and half going regularly to work through issues and have grown so much because of it. I am much more self aware, confident and have learnt to process emotions rather than suppress them. She is amazing!”"
"jana.wiwi","2018-08-29 19:36:50","@priya_saraff check the hashtag #artidotelifelines , there’s all of them, a lot faster! :))"
"noorkorayem","2018-08-30 08:57:49","@najlanagib @insideoutcounseling"
"clicheduck","2018-08-30 16:17:05","@priya_saraff there's a google doc with the top ones on twitter, I'll try to find it"
"clicheduck","2018-08-30 16:38:13","@priya_saraff yes, do you already have that?"
"clicheduck","2018-08-30 16:51:35","@priya_saraff :)"
"israfouda","2018-08-30 21:59:00","@yasmi.en It's in the comment above! Her name is Farida Eid and it's at Heal Counselling in Heliopolis, 8 Abdel Azim Awadallah St."
"thehindinator","2018-08-31 23:34:39","@marioumahh can you send a link to their page or website? I can't seem to find them"
"daydreamer_tz","2018-09-05 01:21:01","@aboody_mahmoud  ekra2 elcaption ely fo2 (metgarraben y3ne)"
"lucys_diamonds","2018-09-15 05:31:07","@marwa2nasser"
"menna_emad","2018-09-18 15:04:30","@ma3andi"
"menna_emad","2018-09-18 15:06:36","Exist counseling"
"theartidote","2018-09-22 23:45:35","Submitted recommendation: “Hello, Ehab Youssef, he’s in Heal Counseling Center. Anyone who works at this center is pretty much awesome. Contacting him is through email: eaaa.youssef@gmail.com”"
"theartidote","2018-09-23 00:06:27","Submitted recommendation: “About the Cairo therapist/psychologist recommendation, There’s doctor Shahira Sami located in mohandesin, She’s a great person who doesn’t judge at all and is really practical, ‭+20 100 6604225‬ “"
"theartidote","2018-09-23 00:16:02","Submitted recommendation: “Heal counseling center in Heliopolis. It’s a great environment that has many great therapists especially dr. Noha Al Nahas who is the founder of the place. They create a very calming atmosphere so you can be able to talk freely, and they totally understand the stigma going around mental illness and they try their hardest to make everyone feel protected. They have helped many people I know and I think they’d be of a great help for anyone who needs professional help. •
Also here’s a link of their facebook page, you can also send them a message and they’ll get back to you shortly with all the information about each therapist available. They will provide all the info you need. https://www.facebook.com/healcounselingcenter/“"
