"username","created_at","comment_text"
"poko_bhardwaaz","2018-09-18 12:15:25","@deviquoi could you give a little more detail regarding the hospital where she practices and her charges?"
"deviquoi","2018-09-18 13:05:07","@poko_bhardwaaz she has a private practice. I'll get back to you about the charges."
"sinmoyeee__","2018-09-18 18:00:25","@drishti_ing"
"vivixhere","2018-09-22 03:42:50","Any chance of asking Chennai!!!"
"sonali96arora","2018-09-22 12:00:01","@nupursharma_1114  see this"
"theartidote","2018-09-22 22:57:35","Submitted recommendation: “Dr. Sanjay chugh has a clinic in GK2 which has really good and trustworthy and safe therapists. Have been going there for 2 years. www.drchugh.com”"
"theartidote","2018-09-22 23:32:48","Submitted recommendation: “Priyamvada Aggarwal +91 9811057643 Operates from Defence Colony, New Delhi  priyamvadaagg@gmail.com  www.priyamvadaaggarwal.com —She is amazing and truly helped me heal.”"
"theartidote","2018-09-22 23:34:55","Submitted recommendation: “Hi! I am writing to you with regards to the post asking for contacts of good therapists/psychologists in Delhi. I have been seeing Psychotherapist Ipsa James for a while now. They are a queer friendly therapist with an eclectic approach of psychotherapy. They have been able to provide a supportive, open and positive environment for me, and I am sure for their other clients as well, to talk about deep seated issues without any judgement.
•
https://www.linkedin.com/in/ipsa-james-2507b242
•
They are a freelancing therapist and practice at 91springboard in Nehru Place”"
"theartidote","2018-09-23 14:27:40","Submitted recommendation: “For the recommendation of psychologist in Delhi there's a clinic called karma centre for counseling and well-being it has a branch in Vasant vihar and Gk. There are a number of psychologists there including Dr. Megha saklani and Dr. Manavi Khurana who are counselors. There is also Dr. Ruchika Kanwal who is a clinical psychologist. The place has a very positive vibe and the mental health workers are very well trained and very supportive. They usually charge ₹2000 for a visit but it's so worth it”"
"sachi_vats","2018-09-25 04:40:56","@purnimasingh_"
"purnimasingh_","2018-09-25 07:14:50","@sachi_vats thanks"
"pratz_97","2018-09-26 16:26:41","@ridhimaaa18"
"anushka_kumar45","2018-09-26 17:42:57","@childrenfirstindia"
"ishie_b","2018-09-26 17:58:27","@jusjessstuff_"
"sukkaaaa_","2018-09-27 08:55:19","@dehydrated_mangoes soon"
"dehydrated_mangoes","2018-09-27 09:49:05","@sukkaaaa_  I’ll probably worsen my client’s problems. Our therapy sessions will need therapy."
"da_noob_","2018-10-02 13:34:02","@madam_tutli_putli"
"anulekha_ray","2018-10-02 23:34:52","@nishitagutpa"
"anulekha_ray","2018-10-02 23:35:01","@songspoemsongs"
"sneha_sankhla","2018-10-05 06:44:15","@kartikasangwan"
"teamsunny","2018-10-10 14:06:32","@bamana421"
"teamsunny","2018-10-10 14:06:41","@panicattacks"
"ankush.sax3na","2018-10-12 07:07:23","@bowties_and_tardises please dm"
"ritikacha","2018-10-14 08:08:27","@shoe_bum6 you might want to follow this"
"eyepoppper","2018-10-14 17:48:04","@ankitasrivastav.a"
"karishmachnd","2018-10-22 19:13:55","@pinaakkr"
"ishimasalapisi","2018-10-23 17:56:52","@starrynight_colourpallet felt bad?"
"restless_ghumakkad","2018-10-24 17:39:51","@ithastoendtobegin see this. It might be helpful for you."
"cokepiya","2018-10-27 17:25:39","still feeling thankful for this post 🙌"
"roshneon","2018-10-27 19:18:51","@saumyakhullar how do you get in touch with her/ get an appointment?"
"roshneon","2018-10-27 19:19:18","@bowties_and_tardises how to make an appointment?"
"_t.u.s.h.a_","2018-10-30 02:48:11","@vinita57 what the fees?"
"thetravellergoddess","2018-11-06 11:15:07","Hi is this available for Bangalore as well? Does anyone know anyone they can recommend in Bangalore?"
"kaku_sharma","2018-11-11 16:46:23","@preruu16"
"esha.agrawal","2018-11-21 11:35:01","@sonal.sindhu how much does she charge ?"
"esha.agrawal","2018-11-22 06:17:38","@sonal.sindhu ohh thank you"
"christiemyers","2018-11-23 06:36:08","@chittira saw you asking earlier about Delhi, thought I would tag you :)"
"chittira","2018-11-23 08:45:05","@christiemyers thank you so very much :)"
"yoshitasharma4","2018-11-23 10:41:49","@nagmaarora go through this"
