"username","created_at","comment_text"
"andreaeymor","2018-08-24 15:47:28","Aneezbob"
"frezzelpretzel","2018-08-24 15:58:50","my recommendation is @sugarcoatedsatansandwich"
"thefatmajaber","2018-08-24 16:13:42","Iv had no experience with psychologists in Dubai but i’v had many experiences with therapists from the American center of psychology and neurology // ACPN they have branches all across the emirates in Dubai , abudhabi , Sharjah and Dubai . One of my former therapists moved to the Dubai branch she’s Persian and her name is faranak nowbakht a very excellent and understanding woman who now works in the Dubai branch . - as for abudhabi doctor junaid Hassim was my therapist for he past 10 months and he’s more than an amazing human being ! He’s very compassionate and understanding. https://www.americancenteruae.com/about-acpn/. You can visit there website . 
For the gals in abudhabi - the beat psychiatrist who also work in the center are DR tamer metwally & DR Ahmed  they’re very understanding and non judgmental. Contact me for more deets love you xo wishing y’all nothing but a journey full of  Growth and  continuous healing"
"thefatmajaber","2018-08-24 16:15:23","@itsmollydarling American center for psychiatry and neurology. , doctor raoum & doctor junaid iv had  great experiences with them , dr junaid was my therapist for the past 10 months and he’s excellent pm me for details xo"
"thefatmajaber","2018-08-24 16:16:16","If anyone is looking for help in Abudhabi please don’t hesitate  to pm me x sending you love and prayers."
"theartidote","2018-08-24 16:32:26","I’m copy/pasting here the following anonymous message: “The LightHouse Arabia the centre for wellbeing  Dr Jamilah

There are a lot of psychologists/therapist/psychiatrist in The Lighthouse they have also good and relaxing vibe in their clinics. They main reason why I just stopped going on therapy last year was because it was not covered with my medical insurance. Around 700 aed -800 aed per session, and I needed to go to therapy twice a month. But if they have med.insurance that covers mental health services it is a good center. ❤️”"
"theartidote","2018-08-24 16:33:33","The LightHouse Arabia
Center for Wellbeing
•
Villa 1, Al Wasl Rd, Al Safa 2
P.O. Box 334273, Dubai, UAE
•
T. +971 (0)4 380 9298
E. info@lighthousearabia.com
W. lighthousearabia.com"
"dhrutikalavapudi","2018-08-24 16:36:14","@anuwby I don’t ☹️☹️"
"dhrutikalavapudi","2018-08-24 16:36:25","But wait @callmeswee help"
"karnparashar","2018-08-24 16:43:27","@srishti_mittal no idea bro"
"karnparashar","2018-08-24 16:44:00","@srishti_mittal just know hospitals"
"tinselom_","2018-08-24 17:49:22","@lighthousearabia 😊"
"naelz.min","2018-08-24 17:54:29","Thank you much Jova! It's such a great thing you're doing . Keep it up . Sending all the love and blessings your way @theartidote 💕"
"prnt85","2018-08-24 18:32:26","Dr. Kareen Bekhazi at American Center."
"adrianakuperman","2018-08-24 19:09:32","Hello! I am Psychologist, but my language is Spanish. I am from Argentina and I can attend on line. My mail is adrianakuperman@gmail.com"
"thefatmajaber","2018-08-24 19:26:24","If anyone’s looking for help in abudhabi  let me know ! Pm me xo"
"sambhu_vasudev","2018-08-24 19:33:08","Dr Reena Thomas at Medeor hospital, Here is the number 04 350 0600"
"unaizapunjwani","2018-08-24 19:39:01","@knafehhh"
