"username","created_at","comment_text"
"abhilashawww","2018-09-26 16:44:34","@theartidote thank you so much for this💕"
"aishwaryav21294","2018-09-26 16:48:55","@vidushisanghadia_"
"aishwaryav21294","2018-09-26 16:49:12","@durgaravindran"
"theraeesi","2018-09-26 16:51:25","Sandhya Luther at Hope Trust saved my life. If you need a Psychiatrist, Dr. Sri Lakshmi at Roshni Counseling centre is amazing."
"theraeesi","2018-09-26 16:53:08","@varshamohan04 +1"
"amnaa.z__","2018-09-26 18:09:15","@samra.fatima"
"_kolahala","2018-09-26 18:29:08","Do for Chennai please"
"naveenisarapu","2018-09-26 19:13:03","Asha hospital, Banjara Hills. Trust me there’s nothing wrong in seeking mental health treatment.❤️"
"theartidote","2018-09-26 19:24:28","Submitted recommendation:
“Dr. Sujatha Rajamani from Kims hospital. Her contact number is +91 98480 43200. She helped me get through a lot of things and really puts forward an approach which helps you feel better, warmer. I’d highly recommend her.

Her appointment can be taken through calling the kims hospital.”"
"theartidote","2018-09-26 19:28:31","Submitted recommendation: “Sahana Rabindranath - SwitchNov -+919849777811
•
She literally helped me get out of 4 years (or more) of depression. She worked with me through professional techniques and the results truly showed over time. She does charge for her sessions but if you're already one of her patients she always replies via text or call when you need her and she's free.
•
Most importantly she doesn't prescribe medication unless extremely necessary which i think is super important.”"
"agonisingcries","2018-09-26 20:37:46","@theartidote would advice you to not share personal phone numbers and details of work on a social media platform. You are risking the security and violating the right to privacy of these people. Please use a better and safer platform for such initiatives. I appreciate your interest and your initiative, but not at the risk of someone somewhere whom you dont even know."
"666_its_satans_bitch","2018-09-26 21:04:25","Can you guys do one for Watford or London? 🖤"
"samra.fatima","2018-09-26 21:29:43","@amnaa.z__ um Amna this is Hyderabad, India and i am from Hyderabad, Pakistan ! 😂"
"theartidote","2018-09-26 22:26:33","@agonisingcries thank you for your feedback. I agree 100%. I try to have the contact info vetted before I share it. Which means that these numbers are either work phones or have received previous approval by the number holders to be shared on a public platform. •
For anybody else that may read this message: when it comes to sharing the contact info of a trusted professional, a work email or website link will suffice. Please do not share phone numbers unless you’ve received previous approval about sharing it on this platform. thank you :)"
"starboy_0345","2018-09-27 02:58:42","I know a doctor yet is an amazing counsuling psychiatrist his name is Dr Prashanth he works in yashoda hospital, he really is amazing has lot of patience to listen to your problem through first"
"kotturaa","2018-09-27 03:03:55","@theartidote amazing artidote has got followers from all parts of world :)"
"amoghaarnava","2018-09-27 03:18:42","Dr Prashant Kocherlakota at Yashoda Hospital Somajiguda. He's a clinical psychologist."
"amnaa.z__","2018-09-27 04:13:21","@samra.fatima duh, sorry!😅🙈"
"praniti123","2018-09-27 05:22:52","@_.wildflowermama"
"laid_back_lad_y","2018-09-27 07:58:17","Can anyone recommend someone out here in Delhi?? This is a cry for help.I had a very bad experience once and since then I have been struggling to help myself. It's difficult. But, if anyone has experienced a positive outcome, please be kind enough to help."
"theartidote","2018-09-27 08:38:37","@laid_back_lad_y fortunately, the Delhi post is already up with lots of great resources. Find it here: #ArtidoteLifelines ❤️"
"laid_back_lad_y","2018-09-27 08:52:28","@theartidote Much appreciated. More power to you. 🙂"
"preetikuber","2018-09-27 09:18:14","Smitha Devara in Banjara hills. The best counsellor I've been to."
"agonisingcries","2018-09-27 10:14:38","@theartidote Thank you for replying back. I hope you understand why I raised the topic and I am very happy to know that you have taken measures to curb such actions. Appreciate your initiative and would support it in the ways i can. Good luck. Cheers! :)"
"sagarika_sringar","2018-09-27 11:59:41","Dr.Kalpana Srinagar, Banjara Hills"
"sahitikonkimalla","2018-09-27 15:13:58","Dr prashant kocherlakota at yashoda hospital is the best doctor.He changed my life completely.he is more than just a doctor to me"
"dishkaow","2018-09-27 16:07:44","@raisa.bhatia do you know anyone?"
"theartidote","2018-09-27 16:19:28","Submitted recommendation: “Dr. Purnima Nagraja at Drithi psychiatric care in Hyderabad. She is a psychiatrist but does psychotherpay as well.
www.practo.com/hyderabad/doctor/dr-purnima-nagaraja-psychiatrist-2/amp
•
1to1help.com has various counselors as well and you can choose any way of communication. E-mail phone or face to face. They have counselors both in Hyderabad and Bangalore.”"
"raisa.bhatia","2018-09-27 19:42:46","Yes will spread the word"
"patrickkoleman","2018-09-28 04:02:20","Dr. @vamshikalyan"
"christie.maria91","2018-09-28 06:38:21","@sruteashok  follow this!"
"ikilledjoffrey","2018-09-28 07:09:48","@proshotter_98 help"
"proshotter_98","2018-09-28 08:41:47","@ikilledjoffrey please reach me at 911"
"samra.fatima","2018-09-29 13:22:07","@amnaa.z__ hahaha ♥️😂"
"sevenpercentcocaine","2018-10-06 09:00:10","@innovativeusernamesarerare !!!!!!!"
"ansh.dilation","2018-10-09 05:28:00","Dr. V George Reddy. A neuropsychiatrist in Trimulgherry. Can be booked by Practo. I highly recommend him."
"blackbrush_artmenu","2018-10-17 18:28:30","Somehow i missed this post earlier. My recommendation for Hyderabad is Dr. Naresh Vadlamani of Columbus Hospital : Institute of Psychiatry and Neurosciences, Hyderabad centre for Suicide prevention. Best doctor ever!!"
