"username","created_at","comment_text"
"s.sakinaa","2018-09-18 15:56:45","Dr. Tahira, clinic at F-8."
"vgjhcbjfvchjjjkiyfgh","2018-09-18 16:49:45","@adilimroz it’s the first one he ever did. Check the hashtag #artidotelifelines ."
"hareem.bro","2018-09-18 16:52:47","Make a post so people could share their experinece with online consuling nd authentics websites."
"adilimroz","2018-09-18 17:02:47","@introvertedsloth_ oh, okay! I started following him way late. Thanks !"
"maureenkris","2018-09-18 17:14:38","We need this 😭 @suzsuzyzane"
"ek_camere_ki_kahani","2018-09-18 17:48:07","@smehrahmed"
"tooobstagram","2018-09-18 18:11:24","Aren't you amazing @theartidote ???"
"samanrukhkhan","2018-09-18 18:45:56","Muhammad Ali Khan. Clinical Psychologist. Reasonable rates  03214725475"
"theartidote","2018-09-18 19:24:00","Submitted recommendation: “Dr. Khadija tahir is a psychotherapist based in Islamabad and she specializes in EMDR and CBT. She's not a child specialist and sees patients above the age of 12. She does not specialize in schizophrenia and extreme cases of ocd. She's mainly a trauma therapist. - 03338601512”"
"ramshaiftekhar","2018-09-18 20:12:40","My elder sister is a very good psychologist"
"theartidote","2018-09-18 20:58:55","Submitted recommendation: “Eman Niazi — emanniazi@gmail.com — Eman Niazi is a psychotherapist based in Islamabad. She has a Masters in Clinical Social Work from New York University, and a Masters in Clinical Psychology from the Punjab University. She is a licensed social worker in the state of New York and has 6 years of experience working in direct mental health services. Her academic specialization focused on contemporary child practice, psychodynamic treatment, attachment theory and mindfulness and emotional regulation in practice. 
She has completed training in trauma focused cognitive behavioral therapy and trauma focused therapy for childhood traumatic grief; and has also attended a number of professional workshops at the Albert Ellis Institute in New York, and the Metropolitan Institute for Training in Psychoanalytic Psychotherapy in New York. During the course of her professional experience Eman has worked with children, adolescents and adults with a diverse range of diagnoses..."
"theartidote","2018-09-18 21:00:18","... She has experience in working with at risk populations; adult and child survivors of trauma and abuse; children and adolescents with emotional and behavioral issues; and mood and adjustment disorders.”"
"uswaaay","2018-09-19 02:22:54","@noorulain_manzoor786 !"
