"username","created_at","comment_text"
"gabriellasade","2018-09-03 21:45:26","❤️"
"caseofpuppylove","2018-09-03 21:46:09","thank you for all you do Jova!"
"chayawassa","2018-09-03 21:53:25","@ktimmy"
"chayawassa","2018-09-03 21:53:31","@ktimmy"
"theartidote","2018-09-03 22:03:34","Anonymous recommendation: “Family service agency of Burbank // 2721 Burbank Blvd, Burbank, CA 91505 // Number: (818) 845-7671 // I’ve been going here for almost 3 year now and I truly think it has helped me to get better and make good choices through out time”"
"theartidote","2018-09-03 22:05:46","Anonymous recommendation: “Open Path is a website that helps people find a therapist that they can afford! // www.openpathcollective.org // Dr Jackie Poper in Santa Monica is very kind! I found her through here :) “"
"pjolay","2018-09-03 23:17:02","@lifecoacheva is a life coach and therapist that I’m currently working under. I’ve been working with her for about a year and a half and I’ve made huge leaps in my awareness and she has helped me bring clarity and actionable steps to take on life’s challenges. She utilizes mindfulness techniques and is trained in cognitive behavioral therapy. Link to her website and contact in her bio.  Also more info on the link below.  https://www.psychologytoday.com/us/therapists/eva-dittrich-certified-professional-life-coach-calabasas-ca/147235"
"jensushi_","2018-09-03 23:57:03","@siopaos"
"lifecoacheva","2018-09-04 00:18:30","@pjolay Thank you so much PJ! What a nice surprise today. 🤗"
"eaxeposed","2018-09-04 00:22:41","@frezzelpretzel"
"edowilhelm","2018-09-04 01:42:15","amazing"
"marygracegrogan","2018-09-04 01:54:21","@alexnicolle_ maybe one of the comments could help ❤️"
"frezzelpretzel","2018-09-04 02:07:18","@eaxeposed one day we will get banned from this acct"
"spirit.v_oid","2018-09-04 02:15:11","Could you do the same for the  Houston area?"
"andiiiarabit","2018-09-04 02:31:23","LA daw @ketchbalag 😂"
"maisiesiongco","2018-09-04 03:32:04","Anyone from arizona?"
"ketchbalag","2018-09-04 03:45:55","@andiiiarabit wahahaha 😜"
"rae_whitney","2018-09-04 05:24:23","Psychology Today has a vast database of providers that you can search for based on type of treatment approach (ex. Talk therapy vs. cognitive behavioral therapy) as well as insurance provider, etc."
"elissacarlsonn","2018-09-04 11:59:06","@annaecarlson1 some good (affordable) resources to keep on hand for the future"
"theartidote","2018-09-04 12:16:27","Anonymous recommendation: “(South Bay Area)
•
www.gabrielaparralcsw.com/ScheduleaSession.en.html
•
Gabriela is a compassionate, good listener who gently helped me grow & develop in a really difficult, critical time for me. I truly recommend her to anyone.”"
"sabawabaa","2018-09-04 20:43:28","Julia Young in Valencia 💛"
"kimi_doodles","2018-09-05 03:00:38","If youre looking for a practice in Long Beach, check out Incredibly Inspirational. Aaammazzzinng!!!"
"abbeyy1993","2018-10-09 04:21:14","@ashchamb_ ^^^^^"
"mckyay","2018-10-09 06:47:48","Alejandro Piña // feelunderstood.com ... he’s been incredible at creating safe space and it’s meant the world"
"mckyay","2018-10-09 06:48:12","^^Los Angeles"
"lilhawaiikhmer","2018-10-10 14:37:25","What about Portland Oregon 😩"
