"username","created_at","comment_text"
"theartidote","2018-09-16 12:50:47","I think it goes without saying that the most affordable the resources provided are, the better 😊"
"shachiiiiiii","2018-09-16 12:56:33","@aakanshaaa__"
"blue_lune","2018-09-16 13:17:19","@pragati_singh24"
"anha.chaudhry","2018-09-16 13:17:53","Can we please do Lahore, Pakistan 🇵🇰 next???"
"pragati_singh24","2018-09-16 13:30:49","@blue_lune haha You can recommend me a few years later ♥️"
"suewildish","2018-09-16 13:38:07","And Cape Town Southern Africa please."
"givemechai","2018-09-16 13:48:05","@maryam8392"
"givemechai","2018-09-16 13:49:08","@vandycecil"
"_imrashmiyadav","2018-09-16 13:49:22","suggest! @vyakhya_seth"
"areamorethanjustpartiallygrey","2018-09-16 13:52:52","Dr. Lalit K. Singh, Department of Psychology, University of Lucknow."
"anoushka______","2018-09-16 13:55:25","Dr. Pallavi Bhatnagar, she is the best ❤️"
"areamorethanjustpartiallygrey","2018-09-16 14:00:23","Dr. Megha Singh, Department of Psychology, University of Lucknow."
"basically_jimmy","2018-09-16 14:02:35","Thank you Jova....❤️"
"apraj1ta","2018-09-16 15:47:17","Dr. Pallavi Bhatnagar is good. Lucknow does not have much aid when it comes to mental health. A lot of clinical psychologists are available but good counsellors are less in number; but if someone wants to see a clinical psychologist Sweety Srivastava at Nirvan Hospital is good."
"apraj1ta","2018-09-16 15:47:25","@medhasaharya done!"
"soaviral","2018-09-16 15:49:59","@apraj1ta Yes you are correct"
"prateeknmishra","2018-09-16 16:17:48","I think pallavi bhatnagar is best"
"blue_lune","2018-09-16 16:30:58","@pragati_singh24 I will of course."
"barashaborthakur","2018-09-16 16:46:25","@ab061194"
"malvikasrivastava","2018-09-16 17:07:14","Aaaaaarey lucknow @arpitverma0202"
"ab061194","2018-09-16 17:15:30","@barashaborthakur I will suggest you one!"
"aanchilling","2018-09-16 20:29:00","Thank you @theartidote for doing this. Lucknow needs to start the serious conversation about mental health."
"ishaanroy","2018-09-16 20:35:15","@ananyaswaroop She moved to Delhi in 2016. Dr. Poonam near bhoothnath.. I dunno if she’s still there."
"yahinkahinside","2018-09-17 01:26:36","@bhavyamisra @divakarsankhla"
"__prakhar","2018-09-17 04:53:14","@sara_saad18"
"shubhangi_96","2018-09-17 05:39:58","@theartidote dr Shazia and dr aleem siddqui"
"mostlyoptical","2018-09-17 10:24:39","@dubeygeetika"
"beingbraveheart","2018-09-17 18:44:43","🤝🏻💓"
"i_you_shhh","2018-09-17 21:04:43","@am1t_kumar you know anyone?"
"eyepoppper","2018-09-21 06:45:28","@gungundubey"
"saurabhpar","2018-10-22 15:35:33","@aabalkhulche @malvikasrivastava  we just had our first meetup in Lucknow this weekend for 'Honest Conversations over Coffee' partly focussed on mental health 
It's a  #meetup where we can have #Honest #Conversations & people enter without labels or legacy of their background, jobs, failures or successes. With just a mutual respect for the human in front of them.
It's an idyllic vision but if this connects with you, be there!
What the media says about these meetups : https://www.thehindu.com/society/fostering-dialogue-about-mental-health/article25069505.ece
The group: Coffee & Conversations 
https://m.facebook.com/groups/763033493902732"
"aanchilling","2018-10-22 15:41:57","@saurabhpar Sounds great. Any of these between 6th and 11th? If yes I can attend."
"amna.amu07","2018-10-22 18:20:30","@shubhangi_96 more details about them please."
"shubhangi_96","2018-10-22 20:01:51","@amna.amu07 hey! I can inbox your dr Shazia’s number. Please dm me once."
"saurabhpar","2018-10-23 05:19:47","@aabalkhulche check the fb group."
"amna.amu07","2018-10-29 03:41:12","@shubhangi_96 please check your Dm"
"saurabhpar","2018-11-04 06:23:31","We are running a meet-up dealing with the issue of mental health among other things 'honest conversations over coffee '.*The next meetup is today on 4th November at Collab Cowork, Lucknow! Please remember the prices are dynamic & will increase soon.
BOOK HERE: https://tinyurl.com/conversationslucknow
If you are buying 3 tickets then get them for 399/- only,BUY HERE: https://imjo.in/9nFbHQ (Idea of the meetup is to build a community thus the discount)
Know more about the group: Coffee & Conversations
https://m.facebook.com/groups/763033493902732"
