"username","created_at","comment_text"
"nuine_","2018-08-13 13:20:47","💖💖💖"
"sivan.ka","2018-08-13 13:28:08","I find it great that you use your platform to reach out and try to help those who might need help 🙌🏼♥️ it’s a great community:)"
"beatrizrcgt","2018-08-13 13:46:04","If you can ask that in the area of Nice, France i’d be extremely thankful"
"jlnxe","2018-08-13 13:46:46","♥️💯"
"theartidote","2018-08-13 14:05:36","@beatrizrcgt I’ll add it to my list for upcoming posts :) 💛"
"kundu_mundu","2018-08-13 14:08:54","@your.epistle"
"smh_572","2018-08-13 14:15:40","Does anyone know a good psychologist in Bucharest , Romania? I feel too embarrassed to talk about it with my friends and I don’t know where to ask for help.. :("
"sinyaoncosya","2018-08-13 14:16:15","@theartidote could you please add New Delhi to that list too? I’ve been looking up online but there isn’t much there"
"ishita666","2018-08-13 14:23:24","@kanchanchhabria"
"kanchanchhabria","2018-08-13 14:24:10","@ishita666 hahahahahhahaha"
"_kassie_._._","2018-08-13 14:25:09","@theartidote for Assam,India as well."
"jennifergutz","2018-08-13 14:29:42","@brendadaveiga"
"satyam.metal","2018-08-13 15:14:26","Woah 🔥 Huge support for this!"
"nowaitwhatwhy","2018-08-13 15:15:00","@sinyaoncosya vimhans is extremely good."
"rararaani","2018-08-13 15:23:22","This is AMAZING would you mind adding one for London? I think there would be quite a few of us who would appreciate that! Thanks so much xx"
"marija.zanovetak","2018-08-13 15:23:43","I love this idea!"
"dakuna_e","2018-08-13 15:47:30","Very useful, Small countries need this more than anyone! I live in Albania and is not easy to find someone who you trust. Wish you good luck in the good work! Keep going with the ideas and support! 🍀"
"padmavathi_23","2018-08-13 16:53:06","It is so amazing that someone actually thinks this is useful.. Great job Jova 😊😊👏👏"
"the.systematic.chaos","2018-08-13 17:16:15","So glad to see this beautiful community growing each day and making things better with unbelievable efforts. More power to you, Jova! ✨"
"jinisha.l","2018-08-13 17:21:34","Love this initiative!"
"moin_b","2018-08-13 17:52:30","Loving this initiative,so thoughtful 💯"
"areamorethanjustpartiallygrey","2018-08-13 18:40:18","❤ Super thoughtful initiative! More power to you, to all of us! #weareallinthistogether."
"avi.safir","2018-08-13 22:01:32","Incredible! That’s so amazing. Thank you for doing this."
"__abeer____","2018-08-14 11:30:07","Sara Mirabelli in Città Studi area (http://www.saramirabelli.com/en/)."
"syeda_snowy_rahi","2018-08-14 14:15:59","This is such an amazing initiative! So many people realise the importance of mental health awareness. I am glad you are doing this 💕"
"jaydiegabriel","2018-08-14 14:27:05","I need this. Thank you."
"gabarzillo","2018-08-15 00:09:48","Can you add one for London as well?
PS: thank you for all of your hard work! Words can’t express how valuable it is ♥️🌟"
"mumbaiactor","2018-08-27 09:35:18","@ollyesse"
"slytheindor","2018-11-25 15:07:17","@theartidote Noida too"
