"username","created_at","comment_text"
"ermitsanushka","2018-08-26 11:19:04","Any recommendations in Andheri west?"
"theartidote","2018-08-26 12:41:10","Anonymous recommendation: “Hi Jova, from Mumbai. I do have 2 therapists (I'm very lucky) who have supported me and loved me and helped me all along. One is based in Mumbai itself, her name is Paulomi Pandit and she is a counselling psychologist. Here are her contact details - 9619640929... and another one is a brilliant therapist and doctor in Calcutta. Sangbarta Chattopadhyay Here are his contact details : 9474471777”"
"muskanlodhi27","2018-08-27 05:16:22","@piukumar see"
"credosian","2018-08-27 05:57:52","This is a great initiative. Do make a blog page out of these reccos so that people can access them all on a single page accessible by a google search. Cheers!"
"arshiazehra","2018-08-27 12:53:13","@satinandgold"
"arshiazehra","2018-08-27 12:53:21","@tejaswinidivyanaik"
"arshiazehra","2018-08-27 12:53:52","@uditibhatla"
"arshiazehra","2018-08-27 12:54:09","@omaihawalajahi"
"arshiazehra","2018-08-27 12:54:44","@priyanshee564"
"desifeminist_","2018-08-27 13:02:48","@arshiazehra ah, I'm in Hyderabad ;-;"
"arshiazehra","2018-08-27 13:09:17","@omaihawalajahi Ah okay. I just thought you could ask around and help."
"desifeminist_","2018-08-27 13:12:16","@arshiazehra i will"
"desifeminist_","2018-08-27 13:12:17","!!"
"sinmoyeee__","2018-08-30 16:30:43","@just.cartoon.things"
"janviiiiii","2018-08-31 15:54:00","Dr. Zirak Marker, Ms. Jenisha Shah and Ms. Nitika Gupta at MPower, Kemp’s Corner, Mumbai!"
"garima.vkaul","2018-09-03 15:13:09","@chaosofharmony hey can't see who you're recommending?"
"chaosofharmony","2018-09-03 15:23:42","@garima.vkaul"
"garima.vkaul","2018-09-03 15:25:01","@chaosofharmony thanks!!"
"manaseewakde","2018-09-06 01:49:37","Recommend @simplyy_human"
"chinmay_flip","2018-09-09 17:01:18","Harish shetty"
"shivanisharma31","2018-09-16 09:31:48","Dr Kersi Chavda from Hinduja hospital @theartidote"
"shivanisharma31","2018-09-16 09:32:50","@k_tarini  Was it helpful?"
"k_tarini","2018-09-16 17:08:22","@shivanisharma31 yes, it was :)"
"shivanisharma31","2018-09-16 20:41:20","@k_tarini oh wow. That's nice. Glad to hear"
"niiilllo__","2018-09-19 15:11:18","@chirping_birds_"
"justlikecrap","2018-09-19 15:43:01","I'm looking for one. Can anyone help?"
"theartidote","2018-09-23 06:11:01","Submitted recommendation: “Neha Patel
Clinical psychologist 
Juhu 10th road, Juhu scheme
9821308300
•
She’s a very bubbly, friendly and energetic person who makes the individual feel extremely comfortable. She is also well versed with many modalities in counselling.”"
"shrivida","2018-09-26 13:56:35","Aneree Shah — 7304033243"
"iamjeeth","2018-09-28 18:23:09","@zayeedhussein can you send this link in DM?"
"theartidote","2018-09-28 22:28:35","Submitted recommendation: “Ms. Amita Tagare 
Counsellor, 
Incharge of Student Wellness Centre at IIT-Bombay
amita.tagare@iitb.ac.in
•
She helped me get through a rough patch in the last days of my post-grad course. 😊”"
"zayeedhussein","2018-09-29 05:00:08","@iamjeeth sure!"
"kopalshar","2018-10-01 13:28:14","Hi! Would you guys know if any of the above recommended psychologists are open to making home visits?"
"blah_05_","2018-10-04 05:42:33","@neha_bhagania"
"zini_mehta","2018-10-10 17:52:58","@bushra.shk check this"
"rahulaudichya","2018-10-11 09:10:24","@sabharwalshwetambara"
"shrayav","2018-10-31 08:52:25","Hey, I am badly looking for a psychologist. I have shifted to Bombay four months before and hence could not continue the sessions from my Kolkata. Would really appreciate any contacts as I am unable to start the sessions for one reason or another and I think right now, it's urgent."
"ujclicks","2018-11-22 14:22:51","@shrayav suschishmita bose in Bandra is excellent q"
"mallika_pd","2018-11-24 17:07:53","Hi, I've had a great experience with Dr. Shamin Indorewala, she is associated with Ummeed foundation, an NGO for adolescent mental health and also practices as a psychologist independently. She's slightly expensive but she has helped me in getting practical solutions as well as getting to the crux of my diagnosed Clinical Depression and GAD. I've been her client for just 6 months now but it has made a huge difference. DM me for any contact details if reqd, happy to help!"
"_avaniig_","2018-11-24 17:47:23","@pooja.khetan"
"vellapun","2018-11-25 16:13:28","@chaosofharmony hey can you DM me their details? Really appreciable."
