"username","created_at","comment_text"
"50shadesofshwey","2018-10-09 16:02:19","@di_shawarma Thank you, Disha."
"subtlepsyche","2018-10-09 16:50:05","@aks"
"subtlepsyche","2018-10-09 16:50:13","@aakashk23 you'll have so much fun"
"aakashk23","2018-10-09 16:54:48","@subtlepsyche yuss, can't wait!"
"the_perceptive_fiction","2018-10-09 17:00:58","@nanihi.center Dr. Natasha D'cruz, I had a positive experience while dealing with anxiety."
"reetu.s17","2018-10-09 17:02:26","@nanihi.center Dr Natasha Dcruz. Can totally vouch for her. My personal experience along with the experience of many I've recommended her to."
"zen_pranav","2018-10-09 17:04:24","@les_images_de_ankita you can check this post, in case you ever need it for future reference"
"dhanashree.k","2018-10-09 17:08:53","@curativepsy  https://curative-mental-health-service.business.site/"
"vishaka.ayalur","2018-10-09 17:38:28","@ashu_2411 is amazing!"
"ano_natsu_he","2018-10-09 17:57:13","👍"
"ma_n_cy","2018-10-09 20:22:03","Stella bhagwat. The best in the city!"
"roocheetah","2018-10-09 22:18:11","@daminikulkarni go over the comments in this post :)"
"komsies","2018-10-10 02:53:25","@theartidote Dr. Soumitra is also one of the professionals who helped frame India’s Mental Healthcare Act!"
"aishwaryas_art","2018-10-10 05:51:04","Institute of psychological health Ruchi Rana plzz co tact her dm me if you need her number she’s the best .... she’s my therapist"
"rhema_baxter","2018-10-10 06:29:52","@doodles.toodles"
"doodles.toodles","2018-10-10 06:36:12","@rhema_baxter wish I knew!"
"shubhikanarayan","2018-10-10 08:05:14","@50shadesofshwey  Shweta Shahade who is part of the @nanihi.center highly recommend and helpful."
"falakmufc","2018-10-10 12:59:52","@1villa_lulla this thread may help you."
"raadha_dhongde","2018-10-10 13:09:16","@emoticonsindia @nikunjagujar"
"lilhawaiikhmer","2018-10-10 14:06:50","Anybody know anyone good and affordable in Portland Oregon I’m long overdue.."
"soyriya_12","2018-10-10 15:10:50","The team of counsellors and psychiatrists at KEM hospital is really helpful :)"
"tanvi_archvalue","2018-10-10 15:37:47","Oh please!"
"bee_flavia","2018-10-10 16:55:44","@taracounseling I have recently starting working with this team of two amazing women! Who have been so forthcoming to help spread awareness about mental health at my workplace . It’s so lovely having them over and they are just a building away from me and my team :) being part of the HR team I interact with them frequently so I am aware of how good they are . I’d highly recommend you getting in touch with them ☺️"
"_muskan2211","2018-10-10 17:29:14","dr Swapnil deshmukh"
"batatadeva","2018-10-10 18:07:16","@nikunjagujar at @emoticonsindia"
"kalyanii.thakare","2018-10-10 18:33:40","Nupur Dhakephalkar in Aundh. She's an amazing psychologist! You can find more about her on Google."
"roboansh","2018-10-11 16:52:09","@suchetha.nk"
"prasoonxvarshney","2018-10-11 18:44:01","@_hawa_hawaii_"
"jo_wysa","2018-10-11 23:29:33","Meet @wysa_buddy ‘s lead psych @wysapsy Smriti!"
"_hawa_hawaii_","2018-10-12 01:48:26","@prasoonxvarshney I know. Have seen this.. :) Thanks for sharing though! 😁"
"wysapsy","2018-10-12 02:11:43","@jo_wysa thank you for  suggesting my name."
"wysapsy","2018-10-12 02:14:01","My full name is Smriti Joshi and i work with @wysa_buddy.  I have been offering help over online modes for past 10 years to women and the youth without any fee."
"edxsha","2018-10-12 08:38:56","@manasi.menon read the caption and go through comments if you want ily"
"manasi.menon","2018-10-12 08:51:58","@edxsha oh my god thank you ilysm💕💕"
"she_kumbhkaran","2018-10-18 12:42:50","@chai.biskit"
"chai.biskit","2018-10-18 12:44:43","@she_kumbhkaran @trishasukhtankar"
"she_kumbhkaran","2018-10-18 16:10:38","@chai.biskit mere hi tag pe mujhe hi tag kr diya"
"mregankakukreja","2018-11-16 15:05:13","@akansha_97"
"a_word_away","2018-11-17 18:52:53","If anyone knows a good psychiatrist in Belgrade, Serbia, I would really appreciate it ❤️"
"ujclicks","2018-11-22 14:23:46","@avantimal is a highly recommended therapist ! DM her for details :)"
