"username","created_at","comment_text"
"_caitli_n","2018-09-11 15:19:53","How about in Denver?"
"thattownieguy","2018-09-11 15:54:52","@megijamm"
"v.shori_","2018-09-11 15:58:45","Are you interested in English speaking therapists?"
"theartidote","2018-09-11 16:23:46","@v1.y0 yes, as well 💛"
"xxvii.vi.mcmxcv","2018-09-11 16:45:26","@laura.arnicane Laura, would you mind sharing yours? I would love to share, but unfortunately I can’t give any recommendations. /Paldies Tev ♥️"
"theartidote","2018-09-11 17:26:17","Anonymous recommendation: “More than a year ago, I was in a really bad mental place and finally had the courage to talk to my GP about it. She was super understanding and helpful, and I was immediately referred to a resident physician in psychotherapy and psychosomatics - Laura Bubko, in Riga Stradins University’s Psycosomatic clinic (psihosomatika.lv/home) ..."
"theartidote","2018-09-11 17:28:03","... She was awesome and helped me look at everything from a different perspective, didn’t judge me and I did feel safe during our sessions. I’m sure that other specialist there are great too, but I only worked with her. Even though I have stopped going to therapy sessions, she gave me a base from which I can work to improve my mental state when it gets bad again. Sorry for the long messages, I just really wanted to recommend her as she has helped me tremendously. The clinic is in Riga, Latvia.”"
"kr.tine","2018-09-11 17:47:38","Agnese Spurina 26474682 - she is psychologist, gave me a lot to think about.."
"la162","2018-09-11 19:55:40","@armory_nice maybe you have someone"
"paniprodavacka","2018-09-11 21:49:14","do Prague please!"
"_skienok","2018-09-12 05:13:49","Are you in Latvia"
"acid.faerie","2018-09-12 09:27:57","anyone know anyone in portland maine area? i miss my old therapist from vt"
"chaotically.yours","2018-09-12 12:33:07","Do Bombay too ;)"
"frezzelpretzel","2018-09-14 03:18:52","i only trust @kisnaaz"
"lilith.lyn061","2018-09-14 15:50:04","@ronalc_jakstanc Baby if you know someone please recommend it to them."
