"username","created_at","comment_text"
"bastossmatheus","2018-09-06 03:25:54","@ar3po"
"ar3po","2018-09-06 03:26:35","@bastossmatheus eu sou seu psicologo?"
"_luizamartin","2018-09-06 03:50:14","Rio de Janeiro  pleaseeee"
"dianetysvb","2018-09-06 03:54:21","@apau1a"
"rachwaldez","2018-09-06 04:47:42","@kurosaki.alan @ronaldoju"
"caren_em","2018-09-06 10:06:08","@julitareis e @joicemattiello 💞"
"lucasdiassage","2018-09-06 11:23:31","@janalealrosa ❤❤❤"
"theartidote","2018-09-06 11:25:15","Anonymous recommendation: “Hey there. My therapist is amazing. His name is Rafael Martinez. https://www.doctoralia.com.br/medico/martinez+bacciotti+rafael-14819100 —
And also, there's a project that I use (is where I met Rafael) called Projeto Alumiar. Basically, several therapists are part of this project. You write them and they find the most suitable therapist for you near or your house or work. And you pay the amount you can pay. If you say ""I only can pay 20 a month"", it's not a problem. // www.projetoalumiar.com “"
"rainbowpsicologia","2018-09-06 12:01:38","@psicologohamilton treats his pacients with ethic and dedication, he works in Sao Paulo city."
"lrezendem","2018-09-06 13:20:31","For Rio de Janeiro I recommend  @gabiklussmann ❤️"
"lrezendem","2018-09-06 13:22:02","@lrezendem 21 99525-1514"
"engelmari_","2018-09-06 13:27:24","i highly recommend my former psychologist, she's called Christina Morgan and specialized in eating disorders, but helped me a lot with my depression and anxiety. She works in Anima Psiquiatria, r. Mario Cardim 168."
"gabbarioni","2018-09-06 14:46:29","@keila.yumi"
"theartidote","2018-09-06 16:12:58","Anonymous recommendation: “Boa noite! Adorei a iniciativa de criar um banco de informações sobre psicólogos de SP. Um amigo me marcou e preferi repassar meus dados e meu apoio por aqui rs. Atuo na cidade de São Bernardo do Campo, Região da Grande São Paulo. •
Esses são meus contatos: (11)94658-9840 Insta: @alinnepsicologa  e-mail: alinnecamille@hotmail.com •
Fico a disposição para conversarmos e se eu puder ajudar em algo, estou a disposição 😊”"
"keila.yumi","2018-09-06 16:13:15","@gabbarioni Obrigada pela indicação!"
"pamelaarantes","2018-09-06 17:12:11","@pepov olhaê, só conheço você"
"aanacp","2018-09-06 20:49:26","@marii3112 😱"
"pepehkk","2018-09-06 20:58:55","I recommend my current psychologist @betsi . She works with a very open mind, is located near “Brooklin Metro-station” at Rua Barão do Triunfo 550. Her contact is ‭+55 (11) 99620-5951‬"
"line_bevilaqua","2018-09-07 15:12:30","@psicanalisarse"
"brunart","2018-09-07 17:36:12","Maria José +5511996225135"
"brunart","2018-09-07 17:37:00","@brunart ela é feminista, uma mulher forte e empática, super sensata e uma guerreira incrível"
"brunart","2018-09-07 17:37:46","@brunart e atende na Sumaré e no Tatuapé 🇧🇷"
"elizia_r","2018-09-07 21:46:52","Dr. Fábio Corregiari"
"bia_scafuro","2018-09-08 01:55:35","Rosimeiri Silveira (11) 99690-5226"
"patacolagens","2018-09-08 14:21:55","If you do one from Rio, I can send you two tips. Mines are awesome"
"anadeffense","2018-09-08 23:43:57","@jeandeffense"
"ana.rib","2018-09-11 17:46:29","@drfabianogoes"
"primaverade83","2018-09-12 22:48:57","These girls: @a_lagareiro and @alessandrafloriopsicoterapiae ✨💖"
"psi_andrealagareiro","2018-09-13 00:41:53","@primaverade83 gente uma indicação dessas! É muito amor! ❤️ Obrigada Déa!"
"psi_andrealagareiro","2018-09-13 00:45:28","@salander.blue hey :) I have a friend living near Berlin, I'll ask around :)."
"anna_cereja","2018-09-14 00:24:32","@patacolagens aaa eu gostaria dessas indicações se você puder me falar"
"patacolagens","2018-09-14 00:56:39","@anna_cereja oiii mandei inbox p vc. ☺️"
"tahorange","2018-09-18 15:03:04","Do a post for the city of Rio de Janeiro! thank you 💙"
"alessandrafloriopsicoterapiae","2018-09-20 16:26:34","@primaverade83 obrigada! 💗"
"samatras","2018-10-01 04:49:47","@gabrieladov q foda!"
"_querol","2018-10-26 22:25:30","gabriella pessoa ‭94119-5801‬"
"ales.leone","2018-10-30 10:24:19","@cidabarbosapsi"
"amandatafner","2018-11-24 22:15:26","I highly recommend my psychologist @annakarolaa"
"annakarolaa","2018-11-25 02:19:08","@amandatafner thank you ♥️"
